#,Color,Source,Original Rank,Parcel ID,Address,Opening Bid,Max Bid,Bid Spread,Drive-By Status,Lien/Title Risk,Entitlement/Zoning Risk,Final Decision,Notes,Grade,source_excel_row,red_indicator_detected,strikethrough_detected,crossed_out_indicator_detected,cleaning_action,crime_risk_level,crime_context_summary,crime_data_granularity,crime_source_title,crime_source_url,crime_data_confidence,economic_signal_level,development_match_strength,matched_development_area,matched_project_or_investment,development_source_title,development_source_url,development_summary,development_match_reason,economic_data_confidence,ai_final_score,ai_final_category,ai_bid_priority,ai_summary,ai_key_risks,ai_due_diligence_next_step,ai_confidence,Auction List No,Auction Source Page,Auction Source Sequence
34,Green,Manual Review,35,25500-03-29-06060,2625 E TECUMSEH ST N,3310.33,12000.0,8689.67,Not Checked,Not Checked,Not Checked,Research,,C,35,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 25500-03-29-06060 at 2625 E TECUMSEH ST N has opening bid 3310.33, max bid 12000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,399,59,399
7,Green,"$1,000–$1,500",16,26725-02-25-16640,515 E UTE ST N,1216.55,7500.0,6283.45,Not Checked,Not Checked,Not Checked,Research,,C,8,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 26725-02-25-16640 at 515 E UTE ST N has opening bid 1216.55, max bid 7500.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,417,61,417
40,Purple,Manual Review,48,29625-02-36-21010,419 E NEWTON PL N,3388.99,15000.0,11611.01,Not Checked,Not Checked,Not Checked,Research,,B,41,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,55,Watchlist,Priority 3,"Parcel 29625-02-36-21010 at 419 E NEWTON PL N has opening bid 3388.99, max bid 15000.0, grade B, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,512,75,512
14,Green,"$1,500–$2,000",7,38675-93-10-06110,1321 S DARLINGTON AV E,1603.63,12000.0,10396.37,Not Checked,Not Checked,Not Checked,Research,,A,15,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 38675-93-10-06110 at 1321 S DARLINGTON AV E has opening bid 1603.63, max bid 12000.0, grade A, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,668,99,668
15,Green,"$1,500–$2,000",12,40250-03-31-14910,1945 E NEWTON ST N,1613.17,10000.0,8386.83,Not Checked,Not Checked,Not Checked,Research,,B,16,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 40250-03-31-14910 at 1945 E NEWTON ST N has opening bid 1613.17, max bid 10000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,691,102,691
22,Green,"$1,500–$2,000",44,40250-03-31-15190,2143 E NEWTON ST N,1778.61,6000.0,4221.39,Not Checked,Not Checked,Not Checked,Research,,C,23,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 40250-03-31-15190 at 2143 E NEWTON ST N has opening bid 1778.61, max bid 6000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,693,103,693
17,Green,"$1,500–$2,000",28,40825-02-13-08310,4337 N GARRISON AV E,1697.16,8000.0,6302.84,Not Checked,Not Checked,Not Checked,Research,,B,18,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 40825-02-13-08310 at 4337 N GARRISON AV E has opening bid 1697.16, max bid 8000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,725,107,725
21,Green,"$1,500–$2,000",43,40850-02-12-07900,517 E 47 PL N,1771.82,9000.0,7228.18,Not Checked,Not Checked,Not Checked,Research,,C,22,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 40850-02-12-07900 at 517 E 47 PL N has opening bid 1771.82, max bid 9000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,744,110,744
5,Green,"$1,000–$1,500",13,40875-02-13-11530,210 E 44 ST N,1184.93,10000.0,8815.07,Not Checked,Not Checked,Not Checked,Research,,B,6,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 40875-02-13-11530 at 210 E 44 ST N has opening bid 1184.93, max bid 10000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,751,111,751
8,Green,"$1,000–$1,500",32,41025-02-01-04710,5901 N GARRISON PL E,1273.2,8000.0,6726.8,Not Checked,Not Checked,Not Checked,Research,,B,9,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 41025-02-01-04710 at 5901 N GARRISON PL E has opening bid 1273.2, max bid 8000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,762,112,762
9,Green,"$1,000–$1,500",33,41025-02-01-05430,522 E 59 ST N,1273.2,6000.0,4726.8,Not Checked,Not Checked,Not Checked,Research,,C,10,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 41025-02-01-05430 at 522 E 59 ST N has opening bid 1273.2, max bid 6000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,769,113,769
4,Green,"$1,000–$1,500",36,43300-03-29-09940,2311 N ATLANTA AV E,1179.88,8000.0,6820.12,Not Checked,Not Checked,Not Checked,Research,,B,5,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 43300-03-29-09940 at 2311 N ATLANTA AV E has opening bid 1179.88, max bid 8000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,802,118,802
35,Green,Manual Review,36,44200-02-11-03380,4627 N BOSTON AV E,3311.0,10000.0,6689.0,Not Checked,Not Checked,Not Checked,Research,,C,36,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 44200-02-11-03380 at 4627 N BOSTON AV E has opening bid 3311.0, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,835,123,835
25,Green,Manual Review,8,44200-02-11-04390,4696 N BOULDER AV W,3075.02,10000.0,6924.98,Not Checked,Not Checked,Not Checked,Research,,C,26,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 44200-02-11-04390 at 4696 N BOULDER AV W has opening bid 3075.02, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,839,123,839
31,Green,Manual Review,21,44200-02-14-06630,18 E 44 PL N,3183.01,10000.0,6816.99,Not Checked,Not Checked,Not Checked,Research,,C,32,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 44200-02-14-06630 at 18 E 44 PL N has opening bid 3183.01, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,844,124,844
38,Green,Manual Review,40,44250-02-12-15190,549 E 54 PL N,3327.0,10000.0,6673.0,Not Checked,Not Checked,Not Checked,Research,,C,39,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 44250-02-12-15190 at 549 E 54 PL N has opening bid 3327.0, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,865,127,865
13,Green,"$1,500–$2,000",2,47175-03-29-18430,1903 N FLORENCE PL E,1549.17,6000.0,4450.83,Not Checked,Not Checked,Not Checked,Research,,C,14,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 47175-03-29-18430 at 1903 N FLORENCE PL E has opening bid 1549.17, max bid 6000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,921,135,914
19,Purple,"$1,500–$2,000",36,56925-92-20-02770,3930 S 61 AV W,1716.68,14000.0,12283.32,Not Checked,Not Checked,Not Checked,Research,,B,20,False,False,False,kept,Unknown,"South Tulsa / county-edge property, only broad area-level context available in this pass.",ZIP-Level,City of Tulsa public safety resources,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,71,Strong Candidate,Priority 2,"Parcel 56925-92-20-02770 at 3930 S 61 AV W has opening bid 1716.68, max bid 14000.0, grade B, color Purple, crime risk Unknown, and economic signal Unknown.","crime context Unknown, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,1047,153,963
11,Purple,"$1,000–$1,500",28,90212-02-12-26700,1118 E 50 PL N,1317.38,12000.0,10682.62,Not Checked,Not Checked,Not Checked,Research,,A,12,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,63,Watchlist,Priority 3,"Parcel 90212-02-12-26700 at 1118 E 50 PL N has opening bid 1317.38, max bid 12000.0, grade A, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,1241,182,1081
28,Green,Manual Review,15,53775-02-02-00220,6105 N MAIN ST E TULSA,3140.32,10000.0,6859.68,Not Checked,Not Checked,Not Checked,Research,,C,29,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 53775-02-02-00220 at 6105 N MAIN ST E TULSA has opening bid 3140.32, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,,,
16,Purple,"$1,500–$2,000",25,53825-02-02-01690,6369 N BOULDER AV W,1693.83,15000.0,13306.17,Not Checked,Not Checked,Not Checked,Research,,A,17,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,63,Watchlist,Priority 3,"Parcel 53825-02-02-01690 at 6369 N BOULDER AV W has opening bid 1693.83, max bid 15000.0, grade A, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,,,
37,Purple,Manual Review,39,90306-03-06-24020,1641 E 56 ST N TULSA,3314.33,15000.0,11685.67,Not Checked,Not Checked,Not Checked,Research,,A,38,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,55,Watchlist,Priority 3,"Parcel 90306-03-06-24020 at 1641 E 56 ST N TULSA has opening bid 3314.33, max bid 15000.0, grade A, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,,,
3,Blue,"$1,000–$1,500",50,96203-62-03-50220,18911 S 29 AV W,1064.76,4000.0,2935.24,Not Checked,Not Checked,Not Checked,Research,,C,4,False,False,False,kept,Unknown,"South Tulsa / county-edge property, only broad area-level context available in this pass.",ZIP-Level,City of Tulsa public safety resources,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 96203-62-03-50220 at 18911 S 29 AV W has opening bid 1064.76, max bid 4000.0, grade C, color Blue, crime risk Unknown, and economic signal Unknown.","crime context Unknown, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,,,
